id;name;parent_id;country_id
38;Aba North;1;164
39;Aba South;1;164
40;Arochukwu;1;164
41;Bende;1;164
42;Ikwuano;1;164
43;Isiala-Ngwa North;1;164
44;Isiala-Ngwa South;1;164
45;Isuikwuato;1;164
46;Obi Ngwa;1;164
47;Ohafia;1;164
48;Osisioma Ngwa;1;164
49;Ugwunagbo;1;164
50;Ukwa East;1;164
51;Ukwa West;1;164
52;Umuahia North;1;164
53;Umuahia South;1;164
54;Umu-Nneochi;1;164
55;Demsa;2;164
56;Fufore;2;164
57;Ganye;2;164
58;Girei;2;164
59;Gombi;2;164
60;Guyuk;2;164
61;Hong;2;164
62;Jada;2;164
63;Lamurde;2;164
64;Madagali;2;164
65;Maiha;2;164
66;Mayo-Belwa;2;164
67;Michika;2;164
68;Mubi North;2;164
69;Mubi South;2;164
70;Numan;2;164
71;Shelleng;2;164
72;Song;2;164
73;Toungo;2;164
74;Yola North;2;164
75;Yola South;2;164
76;Abak;3;164
77;Eastern Obolo;3;164
78;Eket;3;164
79;Esit Eket;3;164
80;Essien Udim;3;164
81;Etim Ekpo;3;164
82;Etinan;3;164
83;Ibeno;3;164
84;Ibesikpo Asutan;3;164
85;Ibiono Ibom;3;164
86;Ika;3;164
87;Ikono;3;164
88;Ikot Abasi;3;164
89;Ikot Ekpene;3;164
90;Ini;3;164
91;Itu;3;164
92;Mbo;3;164
93;Mkpat Enin;3;164
94;Nsit Atai;3;164
95;Nsit Ibom;3;164
96;Nsit Ubium;3;164
97;Obot Akara;3;164
98;Okobo;3;164
99;Onna;3;164
100;Oron;3;164
101;Oruk Anam;3;164
102;Udung Uko;3;164
103;Ukanafun;3;164
104;Uruan;3;164
105;Urue-Offong/Oruko;3;164
106;Uyo;3;164
107;Aguata;4;164
108;Anambra East;4;164
109;Anambra West;4;164
110;Anaocha;4;164
111;Awka North;4;164
112;Awka South;4;164
113;Ayamelum;4;164
114;Dunukofia;4;164
115;Ekwusigo;4;164
116;Idemili North;4;164
117;Idemili South;4;164
118;Ihiala;4;164
119;Njikoka;4;164
120;Nnewi North;4;164
121;Nnewi South;4;164
122;Ogbaru;4;164
123;Onitsha North;4;164
124;Onitsha South;4;164
125;Orumba North;4;164
126;Orumba South;4;164
127;Oyi;4;164
