id;name;code;country_id
1;Abia;AB;164
37;Abuja;FCT;164
2;Adamawa;AD;164
3;Akwa Ibom;AK;164
4;Anambra;AN;164
5;Bauchi;BA;164
6;Bayelsa;BY;164
7;Benue;BE;164
8;Borno;BO;164
9;Cross River;CR;164
10;Delta;DT;164
11;Ebonyi;EB;164
12;Edo;ED;164
13;Ekiti;EK;164
36;Enugu;EN;164
14;Gombe;GO;164
15;Imo;IM;164
16;Jigawa;JG;164
17;Kaduna;KD;164
18;Kano;KN;164
19;Katsina;KT;164
20;Kebbi;KB;164
21;Kogi;KG;164
22;Kwara;KW;164
23;Lagos;LA;164
24;Nasarawa;NA;164
25;Niger;NI;164
26;Ogun;OG;164
27;Ondo;OD;164
28;Osun;OS;164
29;Oyo;OY;164
30;Plateau;PL;164
31;Rivers;RV;164
32;Sokoto;SO;164
33;Taraba;TA;164
34;Yobe;YO;164
35;Zamfara;ZA;164

